(⊃‿⊂)	hide
|_・)	hide
|･ω･｀)	hide
(°<°)	bird
(ಠ_ಠ)	disapproval
◎▼◎	bird
( ͡° ͜ʖ ͡°)	lenny face
( ಠ ͜ʖ ಠ)	face
(╯°□°）╯︵ ┻━┻	table flip
(╯°益°)╯彡┻━┻	angry table flip
┬──┬◡ﾉ(° -°ﾉ)	table flip
(╯°□°)╯︵ ʞooqǝɔɐℲ	table flip
(/¯◡ ‿ ◡)/¯ ~ ┻━┻	table flip
(ノ-_-)ノ ~┻━┻	table flip
(★^O^★)	excited, happy
(ﾉ･ｪ･)ﾉ	excited, dance
＼（＾▽＾）／	excited
( ˃̶ω˂̶ ૃ)	excited
(٭°̧̧̧ω°̧̧̧٭)	excited, cry
（＾_＾）	happy
(ღ˘⌣˘ღ) ♫･*:.｡. .｡.:*･	happy, music
ლ(╹◡╹ლ)	happy, fun
(✿◠‿◠)	happy
¯\\_(ツ)_/¯	shrug
＼（〇_ｏ）／	whatever
ヽ(。_°)ノ	whatever, crazy
ಠ_ಠ	whatever, angry, sad, stare
( ˘ ³˘)♥	love, kiss
(✿ ♥‿♥)	love
(>_<)	angry
(¬､¬)	angry
(;¬_¬)	angry, think
щ(ಠ益ಠщ)	angry
(ノಠ益ಠ)ノ	angry
ᕦ(ò_óˇ)ᕤ	angry
( ಠ ಠ )	angry
(¬▂¬)	angry
(¬_¬)	angry, think
(个_个)	sad, cry
(っ˘̩╭╮˘̩)っ	sad, hug
ಥ_ಥ	sad
⊙▂⊙	surprised
w(°ｏ°)w	surprised
L(・o・)」	surprised
(^_^;)	embarassed
(#^.^#)	embarassed, kiss
（。-＿-。）	embarassed
(´･_･`)	confused
(◎_◎;)	confused
(⊙_◎)	confused, crazy
(￣^￣)	smug
<(￣︶￣)>	smug
(￣(エ)￣)	bear
ᶘ ᵒᴥᵒᶅ	bear, animal
ヽ（゜ロ゜；）ノ	worried
(￣(oo)￣)ﾉ	pig, wave
~(>_<~)	hurt
(ﾉ*ﾟｰﾟ)ﾉ	dance
(ˇ_ˇ”) ƪ(˘⌣˘)┐ ƪ(˘⌣˘)ʃ ┌(˘⌣˘)ʃ	dance
(ᴗ˳ᴗ)	sleep
( ¬_¬)	think
(∩⌣̀_⌣́)	think
(*＾▽＾)／	wave
＼( ･_･)	wave
ヽ༼ ಠ益ಠ ༽ﾉ	troll
(×_×;）	dead
ʕ •ᴥ•ʔ	animal, bear
┌( ಠ_ಠ)┘	stare
